home,away,weight1,weight2
La Coruna,Valencia,64.0,73.0
Sp Gijon,Albacete,1.0,0.0
Ath Bilbao,Santander,38.0,25.0
Ath Madrid,Sociedad,52.0,52.0
Celta,Compostela,9.0,12.0
Espanol,Salamanca,7.0,4.0
Merida,Betis,6.0,7.0
Sevilla,Tenerife,8.0,7.0
Valladolid,Barcelona,82.0,83.0
Vallecano,Real Madrid,73.0,70.0
Zaragoza,Oviedo,14.0,14.0
Albacete,Sevilla,12.0,13.0
Barcelona,Merida,4.0,2.0
Betis,Zaragoza,36.0,28.0
Real Madrid,Ath Bilbao,49.0,40.0
Compostela,La Coruna,5.0,8.0
Oviedo,Vallecano,7.0,4.0
Salamanca,Celta,10.0,16.0
Santander,Ath Madrid,50.0,57.0
Sociedad,Sp Gijon,14.0,7.0
Tenerife,Espanol,18.0,24.0
Valencia,Valladolid,35.0,38.0
Ath Bilbao,Ath Madrid,85.0,96.0
Celta,Tenerife,6.0,7.0
Espanol,Albacete,5.0,8.0
La Coruna,Salamanca,7.0,6.0
Merida,Valencia,9.0,9.0
Real Madrid,Oviedo,15.0,10.0
Sevilla,Sociedad,55.0,59.0
Sp Gijon,Santander,20.0,25.0
Valladolid,Compostela,4.0,3.0
Vallecano,Betis,37.0,41.0
Zaragoza,Barcelona,83.0,76.0
Barcelona,Vallecano,24.0,23.0
Betis,Real Madrid,89.0,89.0
Santander,Sevilla,46.0,43.0
Albacete,Celta,6.0,5.0
Ath Madrid,Sp Gijon,16.0,8.0
Compostela,Merida,3.0,1.0
Oviedo,Ath Bilbao,16.0,15.0
Salamanca,Valladolid,6.0,7.0
Sociedad,Espanol,51.0,54.0
Tenerife,La Coruna,15.0,20.0
Valencia,Zaragoza,38.0,27.0
Ath Bilbao,Sp Gijon,17.0,12.0
Real Madrid,Barcelona,103.0,89.0
Celta,Sociedad,70.0,66.0
Espanol,Santander,38.0,38.0
La Coruna,Albacete,1.0,4.0
Merida,Salamanca,5.0,5.0
Oviedo,Betis,17.0,22.0
Sevilla,Ath Madrid,72.0,71.0
Valladolid,Tenerife,13.0,13.0
