home,away,weight1,weight2
France,Mexico,6.0,4.0
USA,Belgium,4.0,6.0
Yugoslavia,Brazil,4.0,5.0
Romania,Peru,1.0,0.0
Argentina,France,1.0,0.0
Chile,Mexico,0.0,0.0
Yugoslavia,Bolivia,0.0,0.0
USA,Paraguay,0.0,0.0
Uruguay,Peru,0.0,0.0
Chile,France,0.0,0.0
Argentina,Mexico,5.0,0.0
Brazil,Bolivia,0.0,0.0
Paraguay,Belgium,2.0,1.0
Uruguay,Romania,0.0,0.0
Argentina,Chile,1.0,0.0
Argentina,USA,1.0,0.0
Uruguay,Yugoslavia,4.0,3.0
Uruguay,Argentina,3.0,3.0
Austria,France,3.0,3.0
Hungary,Egypt,2.0,0.0
Switzerland,Netherlands,2.0,0.0
Sweden,Argentina,3.0,1.0
Germany,Belgium,4.0,0.0
Spain,Brazil,10.0,10.0
Italy,USA,2.0,1.0
Czechoslovakia,Romania,3.0,3.0
Czechoslovakia,Switzerland,2.0,0.0
Germany,Sweden,1.0,0.0
Italy,Spain,2.0,1.0
Austria,Hungary,1.0,0.0
Italy,Austria,1.0,0.0
Czechoslovakia,Germany,1.0,0.0
Germany,Austria,2.0,0.0
Italy,Czechoslovakia,1.0,0.0
Switzerland,Germany,3.0,1.0
Hungary,Dutch East Indies,0.0,0.0
France,Belgium,3.0,0.0
Cuba,Romania,4.0,1.0
Italy,Norway,1.0,0.0
Brazil,Poland,7.0,3.0
Czechoslovakia,Netherlands,0.0,0.0
Brazil,Czechoslovakia,4.0,2.0
Hungary,Switzerland,0.0,0.0
Sweden,Cuba,0.0,0.0
Italy,France,5.0,5.0
Hungary,Sweden,1.0,0.0
Italy,Brazil,3.0,0.0
Brazil,Sweden,7.0,1.0
Italy,Hungary,3.0,0.0
Brazil,Mexico,2.0,4.0
England,Chile,6.0,7.0
Spain,USA,2.0,1.0
Sweden,Italy,2.0,0.0
Yugoslavia,Switzerland,0.0,0.0
Brazil,Switzerland,2.0,1.0
Yugoslavia,Mexico,1.0,0.0
Spain,Chile,3.0,6.0
Sweden,Paraguay,2.0,1.0
USA,England,0.0,0.0
Brazil,Yugoslavia,1.0,2.0
Spain,England,1.0,1.0
Italy,Paraguay,1.0,1.0
Uruguay,Bolivia,1.0,1.0
Switzerland,Mexico,3.0,3.0
Chile,USA,2.0,0.0
Uruguay,Spain,2.0,2.0
Brazil,Spain,2.0,1.0
Uruguay,Sweden,2.0,0.0
Sweden,Spain,1.0,0.0
Uruguay,Brazil,1.0,0.0
Uruguay,Czechoslovakia,1.0,1.0
Austria,Scotland,3.0,3.0
Yugoslavia,France,6.0,6.0
Germany FR,Turkey,4.0,3.0
Hungary,Korea Republic,3.0,3.0
England,Belgium,4.0,1.0
Switzerland,Italy,2.0,0.0
Uruguay,Scotland,0.0,0.0
Austria,Czechoslovakia,1.0,3.0
Hungary,Germany FR,3.0,0.0
Turkey,Korea Republic,0.0,0.0
England,Switzerland,0.0,0.0
Italy,Belgium,4.0,3.0
Uruguay,England,3.0,1.0
Austria,Switzerland,5.0,0.0
Germany FR,Yugoslavia,1.0,0.0
Hungary,Brazil,5.0,3.0
Germany FR,Austria,4.0,3.0
Hungary,Uruguay,4.0,0.0
Austria,Uruguay,1.0,0.0
Germany FR,Hungary,2.0,0.0
Sweden,Mexico,0.0,0.0
Soviet Union,England,5.0,4.0
Argentina,Germany FR,5.0,4.0
Hungary,Wales,1.0,1.0
France,Paraguay,4.0,3.0
Yugoslavia,Scotland,1.0,1.0
Brazil,Austria,3.0,3.0
Northern Ireland,Czechoslovakia,1.0,0.0
Brazil,England,1.0,1.0
Mexico,Wales,9.0,4.0
Paraguay,Scotland,2.0,0.0
Soviet Union,Austria,0.0,0.0
Germany FR,Czechoslovakia,3.0,5.0
Argentina,Northern Ireland,3.0,3.0
Sweden,Hungary,1.0,0.0
Sweden,Wales,1.0,2.0
Brazil,Soviet Union,1.0,0.0
Germany FR,Northern Ireland,2.0,1.0
Hungary,Mexico,1.0,0.0
Paraguay,Yugoslavia,3.0,1.0
France,Scotland,1.0,0.0
England,Austria,2.0,1.0
Czechoslovakia,Argentina,1.0,0.0
Wales,Hungary,1.0,0.0
Brazil,Wales,0.0,0.0
Sweden,Soviet Union,5.0,3.0
France,Northern Ireland,1.0,0.0
Sweden,Germany FR,1.0,0.0
Brazil,France,7.0,7.0
France,Germany FR,5.0,3.0
Uruguay,Colombia,1.0,0.0
Argentina,Bulgaria,2.0,3.0
Chile,Switzerland,1.0,0.0
Soviet Union,Yugoslavia,0.0,0.0
